t,y,y1,y2
0.0191023000000001,0.185546875,0.185546875,0.185546875
0.0253939999999999,0.185546875,0.185546875,0.185546875
0.0313037999999999,0.185546875,0.185546875,0.185546875
0.0371345999999999,0.185546875,0.185546875,0.185546875
0.0411446999999998,0.185546875,0.185546875,0.185546875
0.0465111999999999,0.185546875,0.185546875,0.185546875
0.0520382000000001,92.9052734375,86.4111328125,82.9931640625
0.0535538,-106.0009765625,-66.0498046875,-20.8447265625
0.0553108999999998,-107.4169921875,-61.8994140625,-14.4970703125
0.0570936,-108.2470703125,-57.6025390625,-10.0048828125
0.0584650999999998,-109.1259765625,-53.5009765625,-7.8564453125
0.0603514999999999,-109.5654296875,-51.5966796875,-8.3935546875
0.0621999,-107.1240234375,-51.8896484375,-11.6162109375
0.0633401,-103.3642578125,-52.6220703125,-14.7412109375
0.0647818999999998,-101.4111328125,-53.5498046875,-17.0849609375
0.0680945999999998,-100.1416015625,-55.2099609375,-19.0380859375
0.069849,-97.7001953125,-56.3818359375,-21.8212890625
0.0713881000000001,-96.3818359375,-57.5537109375,-22.9931640625
0.0728675999999999,-94.2822265625,-59.0673828125,-26.3134765625
0.0742232,-93.1103515625,-60.6787109375,-28.9990234375
0.0754712999999998,-92.5732421875,-62.9736328125,-31.5380859375
0.0767467000000002,-92.6220703125,-64.2431640625,-34.3212890625
0.0786907999999999,-92.2314453125,-66.0009765625,-37.3486328125
0.0798366000000001,-91.5966796875,-67.6611328125,-39.7412109375
0.0814311000000001,-91.4013671875,-69.6630859375,-41.8408203125
0.0831366999999998,-92.0361328125,-70.9814453125,-44.4775390625
0.0849891,-93.3056640625,-72.8369140625,-47.1142578125
0.0862579000000001,-93.2080078125,-75.0341796875,-48.6767578125
0.0916912000000001,-94.3310546875,-76.6943359375,-50.8740234375
0.0932073,-94.9169921875,-77.3779296875,-52.8271484375
0.0943201999999999,-95.9912109375,-78.9404296875,-54.9267578125
0.096063,-97.1142578125,-80.4541015625,-56.6845703125
0.0973666999999998,-97.9443359375,-82.9443359375,-59.3212890625
0.0984935999999998,-98.9697265625,-84.5068359375,-60.8837890625
0.1017851,-100.2392578125,-84.0185546875,-59.4189453125
0.1029425,-100.0927734375,-79.2822265625,-51.1181640625
0.1046891,-101.6552734375,-74.3017578125,-38.2763671875
0.1063735,-103.0224609375,-69.9072265625,-26.6552734375
